Date,Open,High,Low,Close,Core CPI Y/Y,ISM,NFP,2yrUS_Ger,10yrUS_Ger
12/30/2016,101.49,103.65,99.43,102.21,2.2,54.7,156,1.9547,2.2367
11/30/2016,98.409,102.05,95.885,101.5,2.1,53.2,204,1.8403,2.1059
10/31/2016,95.495,99.119,95.456,98.445,2.1,51.9,135,1.459,1.6624
9/30/2016,95.997,96.333,94.465,95.463,2.2,51.5,208,1.4447,1.7139
8/31/2016,95.588,96.524,94.077,96.022,2.3,49.4,176,1.4236,1.6446
7/29/2016,95.876,97.569,95.336,95.53,2.2,52.6,252,1.2804,1.572
6/30/2016,95.822,96.705,93.019,96.143,2.2,53.2,271,1.2425,1.6001
5/31/2016,92.986,95.968,91.919,95.891,2.2,51.3,24,1.3912,1.7071
4/29/2016,94.636,95.2,93.007,93.082,2.1,50.8,144,1.2653,1.5619
3/31/2016,98.156,98.582,94.319,94.586,2.2,51.8,186,1.2078,1.6161
2/29/2016,99.604,99.704,95.236,98.211,2.3,49.5,233,1.3452,1.6277
1/29/2016,98.694,99.829,98.049,99.606,2.2,48.2,168,1.2606,1.5959
12/31/2015,100.22,100.51,97.19,98.631,2.1,48,271,1.393,1.6405
11/30/2015,96.768,100.31,96.635,100.17,2,48.4,280,1.3453,1.733
10/30/2015,96.288,97.818,93.806,96.946,1.9,49.4,295,1.0387,1.6247
9/30/2015,95.875,96.7,94.063,96.35,1.9,50,149,0.8814,1.4494
8/31/2015,97.212,98.334,92.621,95.824,1.8,51,150,0.9407,1.42
7/31/2015,95.598,98.151,95.454,97.336,1.8,51.9,277,0.8929,1.5359
6/30/2015,96.879,97.68,93.563,95.485,1.8,53.1,228,0.8694,1.5887
5/29/2015,94.817,97.775,93.133,96.907,1.7,53.1,273,0.8302,1.6342
4/30/2015,98.474,99.99,94.399,94.6,1.8,51.6,251,0.7883,1.6662
3/31/2015,95.358,100.39,95.063,98.357,1.8,52.3,84,0.8071,1.7427
2/27/2015,94.65,95.364,93.25,95.293,1.7,53.3,265,0.8454,1.6648
1/30/2015,90.275,95.527,90.241,94.804,1.6,53.9,221,0.6332,1.3383
12/31/2014,88.293,90.325,87.627,90.269,1.6,54.9,292,0.762,1.6307
11/28/2014,87.066,88.44,86.879,88.356,1.7,57.5,331,0.5004,1.4637
10/31/2014,85.939,87.133,84.472,86.917,1.8,57.3,200,0.5477,1.4947
9/30/2014,82.766,86.218,82.673,85.936,1.7,55.8,286,0.6488,1.5422
8/29/2014,81.459,82.748,81.188,82.748,1.7,58.1,218,0.5176,1.453
7/31/2014,79.8,81.573,79.74,81.456,1.9,55.6,232,0.5024,1.4028
6/30/2014,80.386,81.02,79.759,79.775,1.9,55.3,306,0.4288,1.2851
5/30/2014,79.507,80.581,78.906,80.369,2,55.8,213,0.3092,1.1182
4/30/2014,80.102,80.599,79.33,79.474,1.8,55.4,310,0.2689,1.1769
3/31/2014,79.867,80.354,79.268,80.1,1.7,55.1,272,0.2588,1.1522
2/28/2014,81.264,81.323,79.688,79.691,1.6,54.8,168,0.1887,1.0233
1/31/2014,80.209,81.388,80.083,81.311,1.6,52.1,187,0.26,0.9846
12/31/2013,80.639,80.993,79.686,80.035,1.7,55.9,45,0.1666,1.0994
11/29/2013,80.245,81.482,80.232,80.68,1.7,56,291,0.1649,1.0514
10/31/2013,80.256,80.754,78.998,80.195,1.7,55.4,189,0.1904,0.8803
9/30/2013,82.093,82.671,80.03,80.221,1.7,55.4,185,0.1495,0.8313
8/30/2013,81.655,82.494,80.754,82.087,1.8,55.6,269,0.1611,0.9279
7/31/2013,83.194,84.753,81.407,81.452,1.7,53.8,140,0.1574,0.9067
6/28/2013,83.32,83.376,80.498,83.136,1.6,52.3,146,0.1669,0.7575
5/31/2013,81.688,84.498,81.331,83.375,1.7,50.2,218,0.2239,0.6233
4/30/2013,83.032,83.494,81.598,81.746,1.7,50.4,192,0.195,0.4556
3/29/2013,81.932,83.302,81.78,82.976,1.9,52.5,135,0.2653,0.56
2/28/2013,79.099,81.998,78.918,81.949,2,54.6,311,0.1946,0.4215
1/31/2013,79.691,80.868,79.133,79.207,1.9,52.9,190,-0.0069,0.3049
12/31/2012,80.187,80.658,79.008,79.769,1.9,49.8,243,0.2623,0.4417
11/30/2012,79.933,81.455,79.859,80.153,1.9,48.8,149,0.2362,0.23
10/31/2012,79.95,80.325,78.935,79.919,2,50.5,132,0.2436,0.2277
9/28/2012,81.222,81.667,78.601,79.935,2,51.8,181,0.2098,0.1913
8/31/2012,82.691,83.508,80.964,81.208,1.9,50.7,190,0.2551,0.2147
7/31/2012,81.556,84.1,81.534,82.635,2.1,50,143,0.3025,0.183
6/29/2012,83.141,83.542,81.161,81.627,2.2,50.7,87,0.1773,0.0622
5/31/2012,78.782,83.215,78.603,83.043,2.3,53.4,115,0.2593,0.3575
4/30/2012,78.882,80.177,78.638,78.776,2.3,54.3,75,0.1754,0.2504
3/30/2012,78.814,80.738,78.63,79.004,2.3,53.6,239,0.1226,0.4152
2/29/2012,79.289,80.119,78.095,78.737,2.2,53.5,257,0.1026,0.1525
1/31/2012,80.271,81.784,78.741,79.288,2.3,53.1,338,0.0564,0.01
12/30/2011,78.364,80.854,77.968,80.178,2.2,52.6,207,0.095,0.0476
11/30/2011,76.529,79.702,76.456,78.384,2.2,51.5,146,-0.083,-0.212
10/31/2011,78.988,79.838,74.724,76.166,2.1,51.4,202,-0.3003,0.0884
9/30/2011,74.16,78.863,74.149,78.553,2,52.7,246,-0.3067,0.0282
8/31/2011,73.983,75.383,73.452,74.117,2,52.8,107,-0.5203,0.004
7/29/2011,74.403,76.719,73.421,73.897,1.8,52.9,70,-0.8066,0.2578
6/30/2011,74.471,76.015,73.506,74.303,1.6,56.2,235,-1.1511,0.1351
5/31/2011,72.972,76.366,72.696,74.638,1.5,53.9,73,-1.1366,0.0407
4/29/2011,75.995,76.61,72.834,72.933,1.3,59.4,346,-1.1696,0.047
3/31/2011,76.825,77.38,75.249,75.857,1.2,59.2,225,-0.9684,0.1167
2/28/2011,77.633,78.873,76.756,76.889,1.1,59.9,188,-0.837,0.2567
1/31/2011,79.09,81.313,77.537,77.735,1,59.3,42,-0.8097,0.2154
12/31/2010,81.332,81.36,78.775,79.028,0.8,57.5,88,-0.2706,0.3302
11/30/2010,76.902,81.444,75.631,81.195,0.8,57.6,123,-0.4033,0.1267
10/29/2010,78.808,78.813,76.144,77.266,0.6,57.7,257,-0.6536,0.0812
9/30/2010,83.112,83.224,78.414,78.72,0.8,56.3,-52,-0.4115,0.2322
8/31/2010,81.537,83.559,80.085,83.202,0.9,58,-34,-0.1203,0.3526
7/30/2010,86.098,86.256,81.459,81.539,0.9,56.4,-70,-0.2383,0.2359
6/30/2010,86.58,88.708,85.091,86.019,0.9,56.4,-133,0.0017,0.3538
5/31/2010,81.8,87.458,81.834,86.588,0.9,58.3,522,0.2517,0.625
4/30/2010,81.02,82.714,80.031,81.866,0.9,58.1,243,0.1892,0.6366
3/31/2010,80.417,82.24,79.507,81.073,1.1,58.8,163,0.0582,0.7334
2/26/2010,79.441,81.342,78.68,80.362,1.3,55.8,-69,-0.1433,0.5109
1/29/2010,77.909,79.496,76.601,79.462,1.6,57.2,28,-0.3067,0.3887
12/31/2009,74.756,78.449,74.266,77.86,1.8,55.3,-279,-0.1958,0.4496
11/30/2009,76.326,76.817,74.17,74.879,1.7,54.4,-7,-0.5942,0.0384
10/30/2009,76.65,77.475,74.94,76.3,1.7,56,-200,-0.3989,0.1519
9/30/2009,78.123,78.943,75.827,76.653,1.5,54.4,-219,-0.3207,0.085
8/31/2009,78.327,79.514,77.428,78.172,1.4,53.5,-212,-0.2753,0.1404
7/31/2009,80.103,80.892,78.22,78.347,1.5,49.9,-329,-0.1521,0.1793
6/30/2009,79.274,81.466,78.334,80.133,1.7,45.8,-470,-0.2556,0.1469
5/29/2009,84.74,84.87,79.183,79.348,1.8,41.7,-351,-0.5039,-0.1298
4/30/2009,85.517,86.871,83.731,84.614,1.9,39.5,-686,-0.438,-0.0595
3/31/2009,88.614,89.624,82.631,85.43,1.8,36,-823,-0.4392,-0.3314
2/27/2009,86.009,88.49,84.465,88.008,1.8,35.5,-703,-0.3406,-0.0987
1/30/2009,80.993,86.813,80.914,85.999,1.7,34.9,-791,-0.5857,-0.4552
12/31/2008,86.469,87.701,77.688,81.308,1.8,33.1,-695,-0.9904,-0.7391
11/28/2008,85.558,88.463,83.902,86.517,2,36.5,-769,-1.2068,-0.3377
10/31/2008,79.273,87.884,78.946,85.633,2.2,38.9,-473,-0.9945,0.0529
9/30/2008,77.298,80.375,75.89,79.448,2.5,44.8,-452,-1.516,-0.1915
8/29/2008,73.214,77.619,73.196,77.381,2.5,49.2,-266,-1.744,-0.3648
7/31/2008,72.462,73.538,71.314,73.227,2.5,50,-209,-1.7519,-0.4091
6/30/2008,72.894,74.314,72.041,72.463,2.4,49.8,-165,-1.9805,-0.6517
5/30/2008,72.54,73.895,71.823,72.879,2.3,48.8,-185,-1.6749,-0.3455
4/30/2008,71.874,73.112,71.191,72.509,2.3,48.8,-210,-1.5033,-0.3951
3/31/2008,73.753,73.947,70.698,71.802,2.4,48.3,-78,-1.8486,-0.4894
2/29/2008,75.184,77.043,73.56,73.714,2.3,47.6,-86,-1.5442,-0.3818
1/31/2008,76.692,77.347,74.972,75.178,2.5,50.3,19,-1.2801,-0.3369
12/31/2007,76.14,77.854,75.595,76.695,2.4,49,97,-0.9174,-0.2838
11/30/2007,76.549,76.868,74.484,76.147,2.3,50.5,115,-0.8363,-0.1881
10/31/2007,77.7,78.891,76.465,76.479,2.2,51.1,85,-0.1108,0.2318
9/28/2007,80.807,81.136,77.666,77.719,2.1,51,88,-0.0445,0.2575
8/31/2007,80.819,82.132,79.957,80.791,2.1,50.9,-24,0.119,0.2872
7/31/2007,81.902,81.962,80.016,80.77,2.2,52.4,-33,0.2184,0.3918
6/29/2007,82.314,83.272,81.704,81.92,2.2,52.6,78,0.3962,0.4504
5/31/2007,81.455,82.603,81.251,82.301,2.2,52.5,143,0.5141,0.4659
4/30/2007,82.92,83.21,81.269,81.447,2.3,52.6,79,0.463,0.4682
3/30/2007,83.58,84.38,82.64,82.93,2.5,50.7,189,0.5584,0.5873
2/28/2007,84.65,85.21,83.36,83.57,2.7,51.9,90,0.7663,0.6087
1/31/2007,83.29,85.43,83.17,84.6,2.7,49.5,240,0.9485,0.708
12/29/2006,82.96,84.22,82.24,83.65,2.6,51.4,171,0.905,0.7542
11/30/2006,85.3,85.93,82.79,82.95,2.6,50.3,208,0.9504,0.7631
10/31/2006,86.01,87.3,85.21,85.32,2.7,51.4,4,1.0146,0.8571
9/29/2006,85.07,86.22,84.67,86.03,2.9,52.2,158,1.0979,0.9186
8/31/2006,85.32,85.75,84.39,85.05,2.8,53.7,181,1.2534,0.9658
7/31/2006,85.18,87.33,84.77,85.3,2.7,53,207,1.438,1.0584
6/30/2006,84.67,87.05,83.72,85.16,2.6,52,82,1.5758,1.0654
5/31/2006,85.98,86.36,83.6,84.72,2.4,53.7,23,1.678,1.1366
4/28/2006,89.75,90.4,85.95,86.11,2.3,55.2,183,1.4793,1.0995
3/31/2006,90.13,91.16,88.85,89.73,2.1,54.3,281,1.5261,1.0762
2/28/2006,88.98,91.02,88.84,90.11,2.1,55.8,316,1.6536,1.062
1/31/2006,90.72,90.94,87.83,88.96,2.1,55,278,1.5605,1.0482
12/30/2005,91.61,92.32,89.52,91.17,2.2,55.1,159,1.5376,1.0821
11/30/2005,90.17,92.63,89.62,91.57,2.1,56.7,337,1.6468,1.029
10/31/2005,89.41,90.74,88.53,90.07,2.1,57.2,85,1.7448,1.1596
9/30/2005,87.56,89.82,85.99,89.52,2,56.8,68,1.7709,1.176
8/31/2005,89.38,89.44,86.76,87.58,2.1,52.4,194,1.6124,0.9117
7/29/2005,89.12,90.77,88.28,89.35,2.1,52.8,376,1.7647,1.033
6/30/2005,87.75,89.48,87.15,89.09,2,52.4,247,1.6101,0.779
5/31/2005,84.45,87.82,83.75,87.76,2.2,50.8,174,1.4326,0.707
4/29/2005,84.03,85.32,83.36,84.43,2.2,52.2,365,1.4015,0.8016
3/31/2005,82.63,84.74,81.28,84.06,2.3,55.2,136,1.2825,0.8595
2/28/2005,83.5,85.44,82.3,82.51,2.4,55.5,239,1.1048,0.6616
1/31/2005,80.85,84.08,80.77,83.57,2.3,56.8,134,0.8736,0.581
12/31/2004,81.85,83.18,80.39,80.85,2.2,57.2,130,0.5841,0.5352
11/30/2004,84.8,85.66,81.53,81.82,2.2,56.2,64,0.6457,0.5562
10/29/2004,87.43,88.64,84.73,84.91,2,56.3,346,0.1194,0.1505
9/30/2004,88.88,89.75,87.34,87.37,2,57.4,164,0.022,0.1284
8/31/2004,89.67,90.19,87.66,88.94,1.7,58.5,121,-0.0239,0.0937
7/30/2004,88.81,90.29,87,89.96,1.8,59.9,44,0.0511,0.2587
6/30/2004,88.97,90.42,88.04,88.8,1.9,60.5,76,-0.0458,0.2626
5/31/2004,90.46,92.29,88.47,88.9,1.7,61.4,308,-0.0457,0.2728
4/30/2004,87.55,91.56,87.02,90.48,1.8,60.6,249,-0.1245,0.3303
3/31/2004,87.38,89.84,87.03,87.61,1.6,60.6,332,-0.5622,-0.0962
2/27/2004,87.11,88.02,84.56,87.31,1.2,59.9,46,-0.574,-0.0799
1/30/2004,86.77,88.01,84.8,87.2,1.1,60.8,162,-0.7051,-0.1081
12/31/2003,90.3,90.54,86.36,86.92,1.1,60.1,122,-0.7861,-0.0465
11/28/2003,92.6,94.13,90.04,90.23,1.1,58.4,17,-0.7683,-0.1254
10/31/2003,92.83,93.42,91.01,92.73,1.3,55.2,198,-0.8685,-0.0383
9/30/2003,98.06,99.37,92.1,92.85,1.2,52.4,104,-0.8393,-0.0574
8/29/2003,96.89,99.49,95.56,98.1,1.3,53.2,-42,-0.6251,0.2666
7/31/2003,94.53,97.45,93.96,96.89,1.5,51,24,-0.7162,0.2155
6/30/2003,93.74,95.34,91.88,94.73,1.5,49,9,-0.8251,-0.2887
5/30/2003,97.14,97.25,92.21,93.29,1.6,49,-8,-0.7943,-0.3511
4/30/2003,98.87,101.81,97.1,97.19,1.5,46.1,-44,-0.9454,-0.2561
3/31/2003,99.78,102.15,97.57,98.88,1.7,46.3,-209,-0.9254,-0.248
2/28/2003,99.77,100.89,98.65,99.71,1.7,48.8,-150,-0.787,-0.2283
1/31/2003,101.86,103.2,98.76,99.91,1.9,51.3,92,-0.9069,-0.1095
12/31/2002,106.38,107.31,101.8,101.85,1.9,51.6,-157,-1.1228,-0.388
11/29/2002,106.51,106.97,104.12,106.38,2,48.5,10,-1.0437,-0.2848
10/31/2002,106.87,108.74,106.47,106.64,2.2,49,126,-1.4111,-0.6186
